food_name,Calories,protein_g,fat_g,carbs_g
"Infant formula, NS as to form (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, ready-to-feed (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, powder, made with water, NFS (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, liquid concentrate, made with tap water (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, liquid concentrate, made with baby water (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, powder, made with tap water (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, powder, made with plain bottled water (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, powder, made with baby water (Similac Sensitive)",65.33,1.4,3.53,6.99
"Infant formula, NS as to form (Similac for Spit-Up)",64.44,1.38,3.48,6.9
"Infant formula, ready-to-feed (Similac for Spit-Up)",64.44,1.38,3.48,6.9
"Infant formula, powder, made with water, NFS (Similac for Spit-Up)",64.44,1.38,3.48,6.9
"Infant formula, NS as to form (Similac Expert Care NeoSure)",72.47,2.01,3.95,7.22
"Infant formula, ready-to-feed (Similac Expert Care NeoSure)",72.47,2.01,3.95,7.22
"Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)",72.47,2.01,3.95,7.22
"Infant formula, powder, made with tap water (Similac Expert Care NeoSure)",72.47,2.01,3.95,7.22
"Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)",72.47,2.01,3.95,7.22
"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",72.47,2.01,3.95,7.22
"Infant formula, NS as to form (Similac Go and Grow)",66.88,1.98,3.56,6.73
"Infant formula, powder, made with water, NFS (Similac Go and Grow)",66.88,1.98,3.56,6.73
"Infant formula, NS as to form (Enfamil Newborn)",66.4,1.38,3.48,7.39
"Infant formula, ready-to-feed (Enfamil Newborn)",66.4,1.38,3.48,7.39
"Infant formula, powder, made with water, NFS (Enfamil Newborn)",66.4,1.38,3.48,7.39
"Infant formula, powder, made with tap water (Enfamil Newborn)",66.4,1.38,3.48,7.39
"Infant formula, powder, made with plain bottled water (Enfamil Newborn)",66.4,1.38,3.48,7.39
"Infant formula, powder, made with baby water (Enfamil Newborn)",66.4,1.38,3.48,7.39
"Infant formula, NS as to form (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, ready-to-feed (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, powder, made with water, NFS (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, powder, made with tap water (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, powder, made with plain bottled water (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, powder, made with baby water (Enfamil Infant)",66.53,1.4,3.49,7.38
"Infant formula, NS as to form (Enfamil A.R.)",65.28,1.6,3.24,7.43
"Infant formula, ready-to-feed (Enfamil A.R.)",65.28,1.6,3.24,7.43
"Infant formula, powder, made with water, NFS (Enfamil A.R.)",65.28,1.6,3.24,7.43
"Infant formula, powder, made with tap water (Enfamil A.R.)",65.28,1.6,3.24,7.43
"Infant formula, NS as to form (Enfamil EnfaCare)",71.8,2.0,3.8,7.4
